N,M,var_loss,std_loss,mean_loss,var_gradient_loss,std_gradient_loss,mean_gradient_loss,nb_rep
40,5.0,2.255477e-09,4.7491863e-05,3.9833023e-05,5.0229366e-05,0.007087268,0.0122304745,5
50,4.0,4.414437e-09,6.644123e-05,4.6507605e-05,5.5844248e-05,0.007472901,0.012079619,5
100,2.0,5.636698e-09,7.507795e-05,4.2669806e-05,6.995978e-05,0.008364196,0.013011229,5
2,100.0,2.314444e-08,0.00015213297,4.229658e-05,1.7401937e-05,0.004171563,0.008216908,6
4,50.0,8.3196605e-09,9.1212176e-05,4.375634e-05,2.2536968e-05,0.0047473116,0.008316534,6
8,25.0,3.9658903e-09,6.297531e-05,3.9420378e-05,2.2210632e-05,0.004712816,0.008423136,6
10,20.0,3.5090688e-09,5.9237394e-05,3.964968e-05,2.6893915e-05,0.0051859342,0.008607446,6
20,10.0,3.43253e-09,5.8587797e-05,4.2554148e-05,2.4266315e-05,0.004926085,0.008775543,6
40,5.0,3.522859e-09,5.9353675e-05,4.009131e-05,3.8965383e-05,0.006242226,0.010077164,6
50,4.0,3.2157097e-09,5.6707227e-05,4.2286676e-05,4.307264e-05,0.006562975,0.010212212,6
100,2.0,7.1086e-09,8.4312516e-05,4.1267605e-05,8.533348e-05,0.009237613,0.0123158265,6
2,100.0,1.3587292e-08,0.000116564544,3.279068e-05,1.4644042e-05,0.0038267535,0.0072703576,7
4,50.0,5.3273084e-09,7.298841e-05,4.3685122e-05,1.5269e-05,0.003907557,0.007372705,7
8,25.0,2.7998905e-09,5.291399e-05,3.993687e-05,1.8451467e-05,0.004295517,0.0076881344,7
10,20.0,2.9093965e-09,5.393882e-05,4.1403913e-05,2.0655662e-05,0.00454485,0.008150956,7
20,10.0,2.5474944e-09,5.047271e-05,3.7914386e-05,2.5115232e-05,0.00501151,0.008482877,7
40,5.0,2.2447932e-09,4.737925e-05,3.702494e-05,3.126876e-05,0.0055918475,0.009339714,7
50,4.0,4.9487836e-09,7.034759e-05,3.5404395e-05,3.6782134e-05,0.0060648276,0.0095064,7
100,2.0,3.51694e-09,5.9303795e-05,3.3715798e-05,7.424734e-05,0.00861669,0.011902487,7
2,100.0,1.7259374e-08,0.00013137494,3.7584756e-05,1.8737943e-05,0.0043287347,0.008127306,8
4,50.0,6.315114e-09,7.9467696e-05,4.3405464e-05,2.232693e-05,0.004725138,0.008234299,8
8,25.0,3.9910164e-09,6.317449e-05,4.573885e-05,2.594778e-05,0.0050938963,0.009001933,8
10,20.0,3.1294773e-09,5.594173e-05,4.3118678e-05,2.4006496e-05,0.0048996424,0.008650436,8
20,10.0,3.3586338e-09,5.7953723e-05,4.546745e-05,3.2082193e-05,0.0056641144,0.009424406,8
40,5.0,3.8185606e-09,6.1794504e-05,4.0989493e-05,6.0640647e-05,0.0077872104,0.010944183,8
50,4.0,3.288271e-09,5.7343448e-05,3.9316023e-05,5.069515e-05,0.007120053,0.010503063,8
100,2.0,1.2914273e-08,0.000113640985,4.7357793e-05,0.00011978852,0.010944794,0.012489131,8
2,100.0,1.285138e-08,0.00011336393,4.735742e-05,2.3024271e-05,0.004798361,0.008730519,9
4,50.0,5.026572e-09,7.089832e-05,4.4902707e-05,2.470993e-05,0.0049709086,0.008895158,9
8,25.0,2.6601013e-09,5.1576168e-05,4.2837262e-05,2.8116616e-05,0.00530251,0.008611906,9
10,20.0,2.3173587e-09,4.8138954e-05,4.661352e-05,3.0117204e-05,0.005487914,0.009117505,9
20,10.0,2.4958937e-09,4.995892e-05,4.5410485e-05,3.560377e-05,0.0059668897,0.009865757,9
40,5.0,3.2380147e-09,5.690356e-05,4.4120214e-05,4.2319807e-05,0.0065053673,0.010201978,9
50,4.0,3.521139e-09,5.9339185e-05,4.7081598e-05,4.9417773e-05,0.0070297774,0.010404026,9
100,2.0,1.0225311e-08,0.000101120284,5.1841453e-05,8.705009e-05,0.009330064,0.01267949,9
